tag,dataset,params,dir,status,return_code,elapsed_s
edge_absorbing1,edge,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset edge --edge absorbing1 --gamma 0.9 --theta 1e-08 --max-iter 1000 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1/value.csv'"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1,OK,0,0.022
gw_64x64_slip_reflect_blk0.0_obs0.0_g0.9_fixed,grid,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset grid --height 64 --width 64 --trans slip --boundary reflect --blocked 0.0 --obstacles 0.0 --goals fixed --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 123 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_64x64_slip_reflect_blk0.0_obs0.0_g0.9_fixed/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_64x64_slip_reflect_blk0.0_obs0.0_g0.9_fixed/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_64x64_slip_reflect_blk0.0_obs0.0_g0.9_fixed/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_64x64_slip_reflect_blk0.0_obs0.0_g0.9_fixed,OK,0,0.060
rnd_S5000_very_uniform,random,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset random --states 5000 --actions fixed:4 --sparsity very --rtype uniform --pattern-k 10 --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 456 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform,OK,0,0.065
rnd_S5000_moderate_uniform,random,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset random --states 5000 --actions fixed:4 --sparsity moderate --rtype uniform --pattern-k 10 --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 456 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_moderate_uniform/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_moderate_uniform/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_moderate_uniform/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_moderate_uniform,OK,0,0.241
gw_256x256_slip_reflect_blk0.0_obs0.0_g0.9_fixed,grid,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset grid --height 256 --width 256 --trans slip --boundary reflect --blocked 0.0 --obstacles 0.0 --goals fixed --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 123 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_256x256_slip_reflect_blk0.0_obs0.0_g0.9_fixed/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_256x256_slip_reflect_blk0.0_obs0.0_g0.9_fixed/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_256x256_slip_reflect_blk0.0_obs0.0_g0.9_fixed/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_256x256_slip_reflect_blk0.0_obs0.0_g0.9_fixed,OK,0,0.537
gw_1024x1024_slip_reflect_blk0.0_obs0.0_g0.9_fixed,grid,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset grid --height 1024 --width 1024 --trans slip --boundary reflect --blocked 0.0 --obstacles 0.0 --goals fixed --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 123 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_1024x1024_slip_reflect_blk0.0_obs0.0_g0.9_fixed/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_1024x1024_slip_reflect_blk0.0_obs0.0_g0.9_fixed/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_1024x1024_slip_reflect_blk0.0_obs0.0_g0.9_fixed/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_1024x1024_slip_reflect_blk0.0_obs0.0_g0.9_fixed,OK,0,7.393
edge_absorbing1,edge,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset edge --edge absorbing1 --gamma 0.9 --theta 1e-08 --max-iter 1000 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1/value.csv'"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/edge_absorbing1,OK,0,0.012
gw_16x16_slip_reflect_blk0.0_obs0.0_g0.9_fixed,grid,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset grid --height 16 --width 16 --trans slip --boundary reflect --blocked 0.0 --obstacles 0.0 --goals fixed --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 123 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_16x16_slip_reflect_blk0.0_obs0.0_g0.9_fixed/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_16x16_slip_reflect_blk0.0_obs0.0_g0.9_fixed/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_16x16_slip_reflect_blk0.0_obs0.0_g0.9_fixed/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_16x16_slip_reflect_blk0.0_obs0.0_g0.9_fixed,OK,0,0.017
gw_32x32_slip_reflect_blk0.0_obs0.0_g0.9_fixed,grid,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset grid --height 32 --width 32 --trans slip --boundary reflect --blocked 0.0 --obstacles 0.0 --goals fixed --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 123 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_32x32_slip_reflect_blk0.0_obs0.0_g0.9_fixed/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_32x32_slip_reflect_blk0.0_obs0.0_g0.9_fixed/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_32x32_slip_reflect_blk0.0_obs0.0_g0.9_fixed/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/gw_32x32_slip_reflect_blk0.0_obs0.0_g0.9_fixed,OK,0,0.024
rnd_S5000_very_uniform,random,{"cmd": "'/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/build/grid_world_generation' --dataset random --states 5000 --actions fixed:4 --sparsity very --rtype uniform --pattern-k 10 --gamma 0.9 --theta 1e-08 --max-iter 1000 --storage sparse --seed 456 --out-mdp '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform/mdp.json' --out-policy '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform/policy.csv' --out-value '/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform/value.csv' --gen-only"},/Users/mustafacanaydin/Documents/University of Liverpool/3rd Semester/dissertation-project/code/grid-world-generation/data-gen-orchestration/datasets/rnd_S5000_very_uniform,OK,0,0.051
